ID,분류,전시형태,작동방식,제목,내용,영문 내용,세부 설명,영문 세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
관찰-12,규화목 Silicified Wood,실물전시,디스플레이,"규화목
Silicified Wood","규화목은 나무가 땅 속에 묻힌 후, 녹은 상태의 뜨거운 규산(Sio2)성분이 나무의 조직 속에 스며들어 나무의 조직이 광물 성분으로 바뀐 것을 말한다. 이 과정에서 나이테 같은 나무의 조직은 원래의 모습을 거의 유지하게 된다.","Silicified Wood: When a tree was buried underground, hot, melted minerals soaked into it and turned the tree into solid stone! Even though it became a rock, it still looks like a real tree with its rings.",,,,~어요. 체로 교체 필요,,,
관찰-13,"빛이 부린 마법, 홀로그램
Floating Hologram",체험,"작동형
(신체활동)","빛이 부린 마법, 홀로그램
The Magic of Light: Hologram",바닥의 모니터에서 나온 영상(빛)이 45도로 기울어진 스크린에 반사되어 입체적으로 보이는 것을 '플로팅 홀로그램'이라고 불러요.,"When the light from the monitor bounces off the tilted screen, it looks like it's popping out! We call this a 'Floating Hologram.'",,,,,,,
,,,,"체험방법
Try it","1. 그리고 싶은 동물을 선택하세요
2. 동물모양 안쪽을 색칠하여 완성하세요.
3. 그림을 스캐너 아래에 놓고 스캔버튼을 누르세요.
4. 테이블 위에 보여지는 동물의 움직임을 관찰해봐요","1. Pick the animal you want to draw!
2. Color it inside the lines to finish.
3. Put your drawing under the scanner and press the scan button.
4. Watch your animal come to life and move on the table!","사용 후 제자리에 두세요.
그림 종이는 한 장씩 사용해 주세요 
<참고> 배경 색칭은 인식의 어려움이 있습니다","Please put it back after use!
Please use only one sheet of paper at a time.
<Note> Avoiding dark background colors helps the scanner recognize your drawing.",,,,,
관찰-14,"도전! 탐조생활
Check your jump power!",패널,텍스트,"겨울철새가 뭐예요?
What are winter birds?","늦가을부터 우리나라를 찾아와 겨울을 보내고 이른 봄에는 북쪽으로 가서 번식하는 새들을 말해요. 겨울 추위를 피하고 먹이를 구하기 위해 원래 살던 곳보다 따뜻한 남쪽인 우리 나라로 오는 거에요.
갈까마귀, 검은목고니, 검은목두루미, 떼까마귀, 말똥가리, 물수리, 큰밀화부리, 항라머리검독수리 등이 겨울철새예요.","These birds are Winter Visitors. They arrive in Korea in late autumn, stay for the winter, and fly back north in early spring to breed. They come to our warmer southern climate to escape the freezing cold and find food.
Jackdaws, Whooper Swans, Hooded Cranes, Rooks, Buzzards, Ospreys, Hawfinches, and Greater Spotted Eagles are our winter birds!","망원경으로 겨울철새인 검은목두루미,큰밀화물리, 항라머리검독수리를 관찰할 수 있어요.","Use the telescope to see winter birds like Hooded Cranes, Hawfinches, and Greater Spotted Eagles!",,,,,
,,체험,터치 디스플레이,"체험방법
Try it",관찰하고 싶은 새를 선택하세요,Pick the bird you want to observe!,흔들지 말고 화면만 살짝 터치해주세요.,"Please don't shake it, just touch the screen gently.",,,,,
관찰-15,,패널,텍스트,"여름철새가 뭐예요?
What are summer birds?","이른 봄이 되면 우리나라에 찾아와 번식을 하고 여름이 지나면 따뜻한 남쪽으로 이동하는 새들을 말해요. 봄에 우리나라로 오는 이유는 둥지를 짓기 좋은 나무가 많고, 먹이가 풍부해서 새끼를 키우기 알맞기 때문이에요.
꾀꼬리, 소쩍새, 중대백로, 파랑새, 호반새 등이 여름철새예요.","These birds are Summer Visitors. They arrive in Korea in early spring to breed and move to warmer southern regions after summer. They come here because the abundance of trees provides perfect nesting sites and the plentiful food makes it an ideal place to raise their chicks. Black-naped Oriole, Oriental Scops Owl, Great Egret, Dollarbird, and Ruddy Kingfisher are our summer birds!","망원경으로 여름철새인 꾀꼬리, 소쩍새 텃새인 어치를 관찰할 수 있어요.","Use the telescope to observe summer birds like Orioles and Scops Owls, and resident birds like Jays!",,,,,
,,체험,터치 디스플레이,"체험방법
Try it",관찰하고 싶은 새를 선택하세요,Pick the bird you want to observe!,흔들지 말고 화면만 살짝 터치해주세요.,"Please don't shake it, just touch the screen gently.",,,,,
관찰-16,,패널,텍스트,"텃새가 뭐예요?
What are resident birds?","계절에 따라 이동하지 않고 1년 내내 우리나라에서 살아가는 새들을 말해요. 까치, 꿩, 닭, 청딱따구리, 붉은머리오목눈이, 어치,큰부리까마귀 등이 텃새에요.","These birds are Resident Birds. They live in Korea all year round without migrating according to the seasons. These birds have adapted to the local environment and stay in the same area throughout the year. Common resident birds include the Oriental Magpie, Pheasant, Chicken, Grey-headed Woodpecker, Vinous-throated Parrotbill, Eurasian Jay, and Large-billed Crow.","망원경으로
텃새인 청딱따구리와 여름철새인 파랑새.
호반새를 관찰할 수 있어요.","Use the telescope to find resident birds like Woodpeckers, and summer birds like Broad-billed Rollers and Ruddy Kingfishers!",,,,,
,,패널,텍스트,"통과철새가 뭐예요?
What are migratory birds?","북쪽에서 남쪽으로 긴 이동을 하는 새들 중 봄과 가을에 우리나라를 잠시 들렀다 가는 새들을 말해요. 주로 강가나 바닷가에서 먹이를 찾는 알락꼬리마도요, 청다리도요 등이 통과철새예요.","Passage Migrants are birds that make long journeys between the north and south, stopping briefly in Korea during spring and autumn. They mainly rest and look for food along riversides and seashores to refuel for their long trip. The Far Eastern Curlew and Common Greenshank are typical examples of these traveling birds.",,,,,,,
관찰-17,회전식 패널,패널,텍스트,"새 어떻게 관찰할까?
How do we observe birds?","새 어떻게 관찰할까?
How do we observe birds?
새를 통해 자연을 관찰하는 활동을 '탐조'라고 해요. 새는 예민하고 사람을 경계하기 때문에 새를 관찰할 때는 아래의 규칙을 꼭 지켜야해요.
1. 새가 놀라지 않도록 멀리 떨어져서 조용히 관찰해요.
2. 둥지나 번식지 주변 환경을 훼손하지 않아요.
3. 새 사진 촬영할 때는 새를 위협하지 않고 플래시를 끄고 찍어요.","How do we observe birds?
Watching birds in nature is called 'Birdwatching.' Birds get scared easily, so we must follow these rules!
1. Stay far away and be quiet so we don't scare them.
2. Do not break or ruin their nests.
3. When taking a picture, turn off the camera flash so it doesn't hurt their eyes!","탐조할 때 챙겨야 하는 준비물
새 도감: 관찰한 새가 어떤 새인지 확인해요.
쌍안경: 가까이 있는 서들을 관찰할 때 사용해요.
망원 렌즈와 카메라: 새들의 모습이나 구별이 어려운 새들을 카메라로 찍어 관찰한다. 
필기도구: 날짜, 장소, 관찰한 00 적어요.
복장: 화려한 옷이 아닌 초록색, 갈색처럼 주변 환경에 어울릴 수 있는 옷을 입어요.","What to bring for birdwatching!
Bird Book: To check what kind of bird we found.
Binoculars: To get a closer look at the birds.
Camera and Telephoto Lens: To take pictures of birds and see them clearly.
Notepad and Pen: To write down the date, place, and what we saw!
Clothing: Wear green or brown clothes to blend in with nature, not bright colors!",,,,,
,,패널,텍스트,"새를 어떻게 알아볼까?
How do we necognize birds?","새를 어떻게 알아볼까?
How do we necognize birds?
우리나라에는 많은 새들이 살고 있어요. 새들은 비슷해 보이지만 크기, 부리와 발의 모양, 깃털색, 행동 등이 다 달라요. 다양한 새 관찰을 통해 어떤 새인지 알아보아요.","How do we recognize birds?
There are so many birds living in Korea! They might look similar, but their sizes, beaks, feet, feather colors, and habits are all different. Let's look closely and find out who they are!","새의 깃털은 어떻게 생겼을까요?
새는 몸의 부위에 따라 다양한 깃털을 가지고 있어요. 새마다 깃털의 생김새와 색깔, 무늬가 달라서 새들을 구분할 수 있어요.
깃털 모양 ~~ 보완

새의 부리는 어떤 모양일까요?
새의 부리는 무엇을 먹는지, 어디에 사는지에 따라 크기와 모양이 달라요.
물고기를 먹는 새, ~~

새의 발은 어떤 모양일까요?
새의 발은 어디에 사는지, 어떻게 쓰는지에 따라 크기와 모양이 달라요.
발 종류 보완~~^^","What do bird feathers look like?
Birds have different feathers all over their bodies! We can tell birds apart because their feathers have different shapes, colors, and patterns.
Feather shapes ~~ (To be updated)

What do bird beaks look like?
The shape and size of a bird's beak change depending on what they eat and where they live!
Birds that eat fish, ~~

What do bird feet look like?
Bird feet come in different shapes and sizes depending on where they live and how they use them!
Foot types ~~ (To be updated) ^^",,,,,
,,패널,텍스트,"철새는 왜?
철새는 어떻게?
Why do migratory birds?","철새는 왜 이동을 할까요?
Why do migratory birds move?
계절에 따라 이동하는 새들을 철새라고 해요.
우리나라는 사계절이 있어 다양한 철새를 볼 수 있어요. 철새는 좀 더 따뜻하고 먹이가 풍부한 곳을 찾기 위해 이동해요.

철새는 어떻게 길을 찾을까?
How do migratory Dirds find their way?
철새는 눈, 부리 등 감각기관을 이용해 길을 찾아요. 낮에는 태양의 위치를 보여 방향을 알아내거나 익숙한 산, 강을 따라가기도 해요.
밤에는 별을 보거나 지구의 자기장을 느껴 길을 찾아요. 이렇게 다양한 방법으로 길을 잃지 않고 이동해요.","Why do migratory birds move?
Birds that travel with the seasons are called migratory birds. They move to find a warmer place with lots of yummy food!

How do migratory birds find their way?
They use their amazing eyes and beaks! During the day, they look at the sun, mountains, and rivers to know where to go. At night, they use the stars or even feel the Earth's magnetic field to travel safely without getting lost!",,,,,,,
관찰-18,"쇼케이스 패널 - 새
(말똥가리 모형, 부위별 그림)",쇼케이스 패널,텍스트,"새는 어떻게 하늘을 날 수 있어요?
How can birds fly in the sky?","1. 머리가 작아요!
새는 머리 크기가 작아서 하늘을 날 때 공기의 저항을 덜 받아요. 머리뼈 사이에 빈 공간이 많아서 무게도 가볍답니다.

2. 몸통이 유선형이에요!
새의 몸은 공기와 마찰을 최소화하기
위해 앞부분은 곡선으로 둥글게, 뒤쪽으로 갈수록 날렵한 유선형 모양으로 생겼어요. 비행기의 모양도 이와 같은 원리로 만들어 졌답니다.

3. 몸이 가벼워요!
공기가 채워져 있는 '속이 빈 뼈'
새의 뼈는 속이 비어서 가벼워요. 갈비뼈는 작고 가슴뼈는 잘 발달하였으며 날개를 움직이는 근육이 붙어있는 용골돌기가 있어요.
뱃속을 가볍게 할 수 있는 '알'
새는 새끼를 뱃속에 품지 않고 알을 낳아 몸 밖에서 키워요. 알은 단단한 껍질로 싸여 있어서 건조한 육지에서도 잘 견딜 수 있지요.

4. 날개가 있어요!
공기를 타고 다닐 수 있는 '날개'
새는 날개와 연결된 튼튼한 가슴 근육으로 날개를 위로 들어 올렸다가 내리는 연속적인 동작으로 날 수 있어요.
온 몸을 덮고 있는 '깃털'
새의 날개 깃털은 중력을 거슬러 하늘을 나는데 도움을 주지요. 꼬리 깃털은 비행 시 균형을 잡고 방향을 조정하는 역할을 해요.","1. Small Heads!
Birds have small heads so the wind doesn't push them back. Their bones have empty spaces, making them super light!

2. Streamlined Bodies!
A bird's body is curved in the front and sharp at the back to slide right through the air! Airplanes are made the exact same way.

3. Super Light Bodies!
'Hollow Bones'
Bird bones are empty inside, so they are very light! They have a special bone to help their wing muscles flap strong.
'Eggs for a light tummy'
Birds lay eggs instead of carrying babies in their tummies. The hard eggshells keep the babies safe!

4. They Have Wings!
'Wings to ride the air'
 Birds have strong chest muscles to flap their wings up and down to fly!
'Feathers all over'
Wing feathers help them fly up high, and tail feathers help them balance and steer like a steering wheel!","날 수 없는 새
A bird that cannot fly.
날개는 있지만 날지 못하는 새도 있어요. 보통 천적이 없는 곳에 살다 보니 날 수 있는 능력을 읽어 버렸기 때문이예요. 날지 못하는 새들은 날개 뼈가 작고 용골 돌기가 퇴화되었어요.

타조
타조는 지상에서 생활하기에 알맞게 다리가 발달했어요.
키위새
키위새는 포식자가 없고, 육지에 먹이가 풍부해 날개가 퇴화했어요.
펭귄
펭귄은 바다에 잠수하여 먹이를 구하 면서 날개가 작아졌어요.
닭
닭은 가축화가 되면서 점점 날 수 있는 능력을 잃게되었어요.","A bird that cannot fly
Some birds have wings but cannot fly! Usually, it's because they lived in safe places with no scary predators, so they lost their ability to fly. Their wing bones got smaller, and their flying muscles got weaker.

Ostrich
Ostriches have super strong legs, perfect for running fast on the ground!

Kiwi
Kiwis had no enemies and plenty of food on the ground, so their wings became very tiny.

Penguin
Penguins dive into the ocean to catch food, so their wings turned into small flippers for swimming!
닭

Chicken
Chickens lived closely with humans on farms, so they gradually forgot how to fly.",,,,,
관찰-19,쇼케이스 패널 - 동물1,쇼케이스 패널,텍스트,"동물들이 왜 몸을 숨길까요?
Why do animals hide?","동물들이 왜 몸을 숨길까요?
Why do animals hide?
동물은 자신을 잡아먹는 천적에게 들키지 않고 살아남기 위해 위장을 해요. 반대로 먹이를 잡아먹으려고 자신을 숨기는 동물들도 있어요.
주변 환경과 비슷하게 몸의 색과 무늬를 바꿔서 적을 속이는 것을 '보호색'이라고 해요. 색뿐만 아니라 몸의 모양까지 주변 식물, 동물을 흉내 내서 자신을 숨기는 '의태'도 있어요. 태어날 때부터 보호색을 가진 동물도 있고 일부는 환경에 따라 몸의 색과 모양을 바꾸기도 해요. 그래서 위장한 생물들을 보고 서식지나 주변 환경을 알아내기도 한답니다.
동물들이 자연 속에서 어떻게 숨어 있는지 체험을 통해 찾아보세요.","Why do animals hide?
Animals hide to stay safe from predators who want to eat them! Some hide to sneak up on their prey, too.
Changing their color and pattern to match the background is called 'Camouflage.' Some even change their shape to look like leaves or twigs! Some are born with it, and some can change colors whenever they want.","고등어의 등은 왜 파랄까요?
Why do mackerels have blue backs?
고등어의 등을 보면 푸른색이고 배 쪽은 은백색을 띠고 있어요. 바닷물과 비슷한 푸른색 등과 물결처럼 보이는 줄무늬가 있어 물고기를 사냥하는 새들에게 들키지 않고 몸을 보호할 수 있어요.
그리고 바다 깊은 곳에서 올려다보면 바다는 햇빛 때문에 은백색으로 보여요. 이 색이 고등어 배의 색과 비슷해서 바다 속에 있는 큰 물고기들의 눈에 잘 띄지 않아요.

대기 오염과 나방 이야기
The story of air pollution and moths
19세기 이후 영국 런던에는 석탄 공장이 많이 세워지고 짙은 매연으로 많은 건물들과 식물들이 검게 변했어요.
천적들의 눈에 쉽게 보이게 된 밝은색 나방은 살아남기 위해 주변 환경과 비슷한 검은색으로 변하며 보호색을 가지게 되었어요.
시간이 지나고 오염이 줄어들면서 점차 밝은색 나방이 다시 많아지고 있다고 해요.","Why do mackerels have blue backs?
The top of a mackerel is blue, and its tummy is silver-white! The blue back and wavy stripes help it blend in with the ocean water, hiding it from birds hunting from above.
Also, if a big fish looks up from deep underwater, the ocean looks bright silver because of the sunlight. This matches the mackerel's tummy perfectly, so they stay hidden!

The story of air pollution and moths
A long time ago in London, many coal factories were built. The thick, dark smoke turned the buildings and trees black!
The bright-colored moths became too easy to spot and get eaten! To survive, they changed their color to black to match the dirty trees. This is called camouflage!
As time passed and the air got cleaner, the trees became light again, and the bright-colored moths are coming back!",,,,,
,,체험,터치 디스플레이,"발견! 숨은생물들
Discovery! Hidden Creatures!","숨은 친구를 찾아봐!
대벌레, 보완~~~~~",Let's find our hidden friends!,,,,,,,
관찰-20,"쇼케이스 패널 - 동물2
(이빨, 발자국, 똥 모형)",쇼케이스 패널,텍스트,"초식동물일까요?
육식동물일까요?
Is it a herbivore or a carnivore?","초식동물일까요? 육식동물일까요?
Is it a herbivore or a carnivore?
동물은 무엇을 주로 먹느냐에 따라 초식동물과 육식동물로 나뉘어요.

초식동물
초식동물은 풀과 열매와 같은 식물을 먹고 살아요. 풀을 뜯기에 적합한 이빨과 먹이를 잘게 잘라 영양분을 얻을 수 있는 긴 소화 기관을 가졌어요. 발톱은 둥글거나 뭉툭해요. (사슴 그림)

육식동물
육식동물은 다른 동물을 잡아 먹어요. 사냥하기 좋은 송곳니와 큰 입, 강한 턱을 가졌어요. 위산이 많이 분비 되어 먹이를 통째로 삼켜도 소화가 가능해요. 발톱은 뾰족 하고 날카로워요. (사자 그림)","Is it a herbivore or a carnivore? / Animals are divided by what they eat!

Herbivores
Herbivores eat plants like grass and fruits! They have flat teeth to bite off grass, and long tummies to digest it. Their claws are round and blunt.

Carnivores
Carnivores eat other animals! They have sharp fangs, big mouths, and strong jaws for hunting. Their claws are super sharp and pointy!","초식동물과 육식동물의 이빨은 어떻게 다를까요?
What is the ditterence Derween the teeth of herbivores and carnivores?
초식동물
초식동물은 넓적한 앞니로 칼처럼 식물을 자르고 맷돌 같은 어금니로 먹이를 잘게 으깨서 먹어요.

육식동물
육식동물은 날카로운 송곳니와 갈고리 모양의 강한 발톱을 가지고 있어서, 사냥감을 잡으면 단번에 숨통을 끊고 고기를 찢어 먹을 수 있어요.

동물의 똥을 보고 무엇을 알 수 있을까요?
what can you tell from animal poop?
똥의 크기와 양을 보면 동물이 얼마나 큰지 추측할 수 있어요. 그리고 똥에 무엇이 들어 있는지를 살펴보면 동물이 무엇을 먹었는지도 알 수 있습니다. 소? 사슴? 토끼와 같은 초식 동물의 배설물은 동그랗고 풀이 남아 있어요. 야생 고양이나 여우 같은 육식동물의 배설물은 길고 뾰족하고 작은 동물의 털과 뼈가 발견되기도 해요.

누구의 발자국일까요?
Whose footprints are they?
많은 동물들이 암컷과 수컷이 만나기 위해 또는 경쟁자에게 영역을 표시하기 흔적을 남기는데 그 중 하나가 발자국이에요. 대부분 동물들은 앞발과 뒷발의 발자국 생김새가 달라요. 또한 발자국의 크기에 따라서 동물의 몸집도 예상할 수 있어요.","What is the difference between the teeth of herbivores and carnivores?

Herbivores
Plant-eaters have flat front teeth to cut grass like a knife, and big, flat back teeth to grind it up like a mill!

Carnivores
Meat-eaters have sharp fangs and strong, hooked claws. They use them to catch their prey quickly and tear the meat!

What can you tell from animal poop?
By looking at the size and amount of poop, we can guess how big the animal is! If we look at what is inside, we can even tell what they ate. The poop of plant-eaters like cows, deer, and rabbits is usually round and has bits of grass left in it. The poop of meat-eaters like wildcats or foxes is long and pointy, and you might even find tiny animal hairs and bones inside!

Whose footprints are they?
Many animals leave marks to find a mate or to tell others, ""This is my home!"" One of these marks is their footprints! For most animals, their front footprints look different from their back ones. We can also guess the size of the animal by how big its footprints are!",,,,,
,,체험,핸즈온,"발자국 맞히기
Guess the Footprints","누가 농장을 엉망으로 만들었을까요?
농장을 망가뜨린 발자국 그림을 보고 어떤 동물인지 맞추어 보세요.","Who made a mess in the farm?
Look at the footprints and guess which animal did it!",,,,,,,
관찰-21,"쇼케이스 패널 - 동물3
(양 뼈 모형)",패널,텍스트,"내 몸의 뼈와
양의 뼈는 어떻게 다를까요?
How are the bones of my body different from the bones of sheep?","내 몸의 뼈와 양의 뼈는 어떻게 다를까요?
How are the bones of my body different from the bones of sheep?
뼈는 우리의 몸을 지탱하고 있는 단단한 조직입니다.
우리 몸은 206개의 뼈로 구성되어 있지요. 뼈는 우리 몸을 지지하고 몸 안의 장기를 보호하며 근육이 움직일 수 있도록 지렛대 역할을 합니다.

아래의 양 뼈를 맞춰보고 우리 몸의 뼈와 비교 해볼까요?","How are the bones of my body different from the bones of a sheep?
Bones are the hard parts that hold our bodies up! We have 206 bones in our body. They protect our organs and work like levers so we can move. Let's put the sheep bones together and compare them with ours!","네발 동물과 인간은 무엇이 다를까요?
What is the difference between four-legged animals and humans?
1. 걷는 법이 달라요!
포유 동물들은 주로 네 다리를 모두 이용해서 걷지만 인간은 두 다리만을 사용하여 등을 꼿꼿하게 세우고 걸어요.

2. 두개골이 달라요!
걷는 방법에 따라 두개골의 형태가 달라져요!
네발로 걷는 동물은 두개골에 연결되는 목뼈의 방향이 뒤쪽으로 45도 정도 기울어져 있어요. 반면 두 발로 걷는 인간은 목뼈의 방향이 두개골 바로 아래 수직으로 연결되어 있지요.

3. 척추뼈가 달라요!
척추의 S자형 곡선은 두 발로 서서 걷는 인간에게서 나타나는 특징이에요.","What is the difference between four-legged animals and humans?

1. Walk differently!
Most mammals walk using all four legs, but humans walk straight up using only two legs!

2. Skulls are different!
The shape of the skull changes depending on how we walk. For four-legged animals, the neck bone connects to the back of the skull at an angle. But for humans, the neck connects straight up right under the skull!

3. Spines are different!
Humans have a special S-shaped spine that helps us stand up and walk perfectly on two feet!",,,,,
,,체험,조립형 핸즈온,"양 뼈 맞추기
Match the Sheep Bones!",,,사용 후 제자리에 두세요.,Please put it back after use.,,,,,
,건립 당시 발견한 화강암,모형,고정형 촉각 전시물,"서울 땅속은 어떤 돌로 되어있을까요?
What rocks are under the ground in Seoul?",이 암석은 국립어린이과학관 건립을 위해 지하 터파기 공사를 하는 과정에서 나온 화강암으로 서울의 땅 속 지층과 산들은 대부분 이와 같은 화강암으로 이루어져 있습니다.,This granite rock came from deep underground right here when the National Children's Science Center was being built! Most of the ground and mountains in Seoul are made of this granite.,,,,,,,
